Species,adu_alo,adu_fol,adu_alo_b,adu_alo_h,adu_fol_b,adu_fol_h,Shape
P_hes,0.003829935,-0.371099445,-1.361412984,-0.199054948,-0.823524145,0.238191143,0.049657347
P_hes,0.003829935,-0.371099445,-1.361412984,-0.199054948,-0.823524145,0.238191143,-0.000379095
P_lan,-0.302324086,-2.112794602,1.836988541,0.727760705,-0.764941802,-2.231392264,0.050432855
P_lan,2.505901247,-0.002355066,0.816405108,-1.503292425,-0.22264154,0.268457325,0.0218097
P_lan,-3.918721126,1.565036104,-1.849581564,2.546750604,2.089162656,0.089500666,0.037069947
P_lan,-1.064384584,-3.602713277,0.855571857,1.23063961,-2.109481586,-3.069494654,0.036379664
P_lan,-0.800888154,-3.651305676,2.033839711,1.241115414,-2.232163073,-2.951547332,0.028504562
P_lan,-2.58906836,-3.39691385,2.681078557,2.835196076,-1.864349849,-2.873618245,0.045098328
P_lan,-0.789604041,-3.409019332,-1.975117155,0.382743398,-2.578307646,-2.245671623,0.034895143
P_lan,1.410697261,-2.546040978,1.099389634,-0.835272266,-1.951807051,-1.588188442,-0.013678325
P_lan,1.308074989,-3.28220324,0.791716966,-0.691381122,-2.648932999,-2.018498444,0.034278968
P_lan,-1.907766591,-2.245588925,1.112607374,2.154153591,-1.139084451,-2.103678687,0.082287822
P_lan,-0.475137348,-2.611503136,1.063437516,0.736573751,-1.84782423,-1.875917766,-0.020056998
P_lan,0.968711511,-3.086172142,0.725229298,-0.162666416,-2.316274883,-2.080868698,0.0310436
P_lan,-0.583985693,-2.368865492,-0.679864422,0.89084945,-1.891170109,-1.499057826,0.049465947
P_lan,-1.398477699,-1.786210375,0.733671761,1.444928562,-1.734462239,-0.769697217,0.058116177
P_lan,0.108358018,-2.754692726,1.850857944,-0.562858026,-1.832707289,-2.075209386,-0.036903817
P_lan,-0.709355246,-1.616282935,1.628626118,0.532926897,-0.85683587,-1.346315629,0.02169153
P_lan,-0.476859191,-1.839455992,0.292705623,0.316728339,-1.638396672,-0.914520684,0.071265548
P_lan,-1.103932895,-1.605077789,-2.217530011,0.64036625,-1.363391066,-1.067320623,0.071083509
P_lan,1.457223382,-2.826821391,-0.038965834,-1.556165406,-1.524488099,-2.590912213,0.024865762
P_lan,-2.967436804,-1.230485217,1.690580982,2.174809018,-0.702010683,-0.814448755,0.091626471
P_lan,-1.667862908,-0.468447189,1.104372742,1.287816391,-0.342288837,-0.328610994,0.039772247
P_lan,-1.646548249,-0.682372165,-0.978800628,1.498779195,-0.12061449,-0.762600537,-0.025515424
P_lan,-0.719953658,-2.206002612,1.560282286,0.547558286,-0.989088126,-2.158317481,0.024529672
P_lan,0.152756387,-1.919161384,1.795336636,0.12947082,-1.117736057,-1.606634893,-0.02457464
P_lan,-0.459727035,-1.44903901,0.877222649,0.046313708,-0.772876238,-1.327150746,-0.021511552
P_lan,0.735622068,-1.06961899,0.777046215,0.298056353,-1.120938671,-0.316993619,0.077826496
P_lan,0.529790028,-0.022613808,-0.268657922,-0.670574192,-0.367360104,0.398644411,0.027427729
P_lan,-0.673787291,-0.74874064,-0.575370298,0.817531111,-0.370613865,-0.768040276,0.110255899
P_lan,0.373459051,-0.617545835,-1.02093057,-0.713446913,-0.557905419,-0.257158519,0.008488407
P_lan,1.849695306,-0.306515985,0.685895851,-1.523901087,-0.671065648,0.19219645,-0.043059848
P_lan,0.148223412,-1.039022643,1.725077509,-0.052222294,-0.54965634,-0.9167601,0.065674842
P_lan,1.240477105,-0.828015102,-0.503681514,-0.973600567,-1.080962732,-0.137814013,0.053311456
P_lan,1.500758394,-0.148997976,0.72785046,-0.905904214,-1.103292743,0.929504771,0.026067077
P_lan,-2.189790033,-1.074748951,1.324910511,2.249690862,-0.510951471,-0.965980918,0.115243543
P_lan,0.963356166,-1.295377971,-0.161334538,-0.61295529,-0.676123577,-1.29133122,0.057511496
P_lan,1.087622768,-0.587808015,-0.085256683,-0.984190979,-0.412936359,-0.473036507,0.018792116
P_lan,-1.266108419,0.057518636,0.17606756,1.686928719,-0.207068997,0.341290663,0.062530525
P_lan,0.116185129,-0.07125588,-0.751431992,-0.088489271,-0.378673132,0.180800158,0.052283425
P_lan,-0.10158689,-0.06931977,-0.696437327,0.44899466,-0.110656943,-0.076647086,0.03708574
P_lan,-3.326604011,-0.399905087,3.066922694,3.317750317,0.271338428,-0.851551117,0.032851854
